iteration,timesteps,iteration_progress,opponent_index,opponent,probability,pool_size,uniform_probability,preference_ratio,opponent_age
2,1360000,0.4533333333333333,0,Scr,0.2,2,0.5,0.4,
2,1360000,0.4533333333333333,1,H1,0.8,2,0.5,1.6,0
2,1370000,0.45666666666666667,0,Scr,0.2,2,0.5,0.4,
2,1370000,0.45666666666666667,1,H1,0.8,2,0.5,1.6,0
2,1380000,0.46,0,Scr,0.2,2,0.5,0.4,
2,1380000,0.46,1,H1,0.8,2,0.5,1.6,0
2,1390000,0.4633333333333333,0,Scr,0.2,2,0.5,0.4,
2,1390000,0.4633333333333333,1,H1,0.8,2,0.5,1.6,0
2,1400000,0.4666666666666667,0,Scr,0.2,2,0.5,0.4,
2,1400000,0.4666666666666667,1,H1,0.8,2,0.5,1.6,0
2,1410000,0.47,0,Scr,0.2,2,0.5,0.4,
2,1410000,0.47,1,H1,0.8,2,0.5,1.6,0
2,1420000,0.47333333333333333,0,Scr,0.2,2,0.5,0.4,
2,1420000,0.47333333333333333,1,H1,0.8,2,0.5,1.6,0
2,1430000,0.4766666666666667,0,Scr,0.2,2,0.5,0.4,
2,1430000,0.4766666666666667,1,H1,0.8,2,0.5,1.6,0
2,1440000,0.48,0,Scr,0.2,2,0.5,0.4,
2,1440000,0.48,1,H1,0.8,2,0.5,1.6,0
2,1450000,0.48333333333333334,0,Scr,0.2,2,0.5,0.4,
2,1450000,0.48333333333333334,1,H1,0.8,2,0.5,1.6,0
2,1460000,0.4866666666666667,0,Scr,0.2,2,0.5,0.4,
2,1460000,0.4866666666666667,1,H1,0.8,2,0.5,1.6,0
2,1470000,0.49,0,Scr,0.2,2,0.5,0.4,
2,1470000,0.49,1,H1,0.8,2,0.5,1.6,0
2,1480000,0.49333333333333335,0,Scr,0.2,2,0.5,0.4,
2,1480000,0.49333333333333335,1,H1,0.8,2,0.5,1.6,0
2,1490000,0.49666666666666665,0,Scr,0.2,2,0.5,0.4,
