iteration,timesteps,iteration_progress,opponent_index,opponent,probability,pool_size,uniform_probability
2,1640000,0.82,0,Scr,0.2,2,0.5
2,1640000,0.82,1,H1,0.8,2,0.5
2,1650000,0.825,0,Scr,0.2,2,0.5
2,1650000,0.825,1,H1,0.8,2,0.5
2,1660000,0.83,0,Scr,0.2,2,0.5
2,1660000,0.83,1,H1,0.8,2,0.5
2,1670000,0.835,0,Scr,0.2,2,0.5
2,1670000,0.835,1,H1,0.8,2,0.5
2,1680000,0.84,0,Scr,0.2,2,0.5
2,1680000,0.84,1,H1,0.8,2,0.5
2,1690000,0.845,0,Scr,0.2,2,0.5
2,1690000,0.845,1,H1,0.8,2,0.5
2,1700000,0.85,0,Scr,0.2,2,0.5
2,1700000,0.85,1,H1,0.8,2,0.5
2,1710000,0.855,0,Scr,0.2,2,0.5
2,1710000,0.855,1,H1,0.8,2,0.5
2,1720000,0.86,0,Scr,0.2,2,0.5
2,1720000,0.86,1,H1,0.8,2,0.5
2,1730000,0.865,0,Scr,0.2,2,0.5
2,1730000,0.865,1,H1,0.8,2,0.5
2,1740000,0.87,0,Scr,0.2,2,0.5
2,1740000,0.87,1,H1,0.8,2,0.5
2,1750000,0.875,0,Scr,0.2,2,0.5
2,1750000,0.875,1,H1,0.8,2,0.5
2,1760000,0.88,0,Scr,0.2,2,0.5
2,1760000,0.88,1,H1,0.8,2,0.5
2,1770000,0.885,0,Scr,0.2,2,0.5
2,1770000,0.885,1,H1,0.8,2,0.5
2,1780000,0.89,0,Scr,0.2,2,0.5
2,1780000,0.89,1,H1,0.8,2,0.5
2,1790000,0.895,0,Scr,0.2,2,0.5
2,1790000,0.895,1,H1,0.8,2,0.5
2,1800000,0.9,0,Scr,0.2,2,0.5
2,1800000,0.9,1,H1,0.8,2,0.5
2,1810000,0.905,0,Scr,0.2,2,0.5
2,1810000,0.905,1,H1,0.8,2,0.5
2,1820000,0.91,0,Scr,0.2,2,0.5
2,1820000,0.91,1,H1,0.8,2,0.5
2,1830000,0.915,0,Scr,0.2,2,0.5
2,1830000,0.915,1,H1,0.8,2,0.5
2,1840000,0.92,0,Scr,0.2,2,0.5
2,1840000,0.92,1,H1,0.8,2,0.5
2,1850000,0.925,0,Scr,0.2,2,0.5
2,1850000,0.925,1,H1,0.8,2,0.5
2,1860000,0.93,0,Scr,0.2,2,0.5
2,1860000,0.93,1,H1,0.8,2,0.5
2,1870000,0.935,0,Scr,0.2,2,0.5
2,1870000,0.935,1,H1,0.8,2,0.5
2,1880000,0.94,0,Scr,0.2,2,0.5
2,1880000,0.94,1,H1,0.8,2,0.5
2,1890000,0.945,0,Scr,0.2,2,0.5
2,1890000,0.945,1,H1,0.8,2,0.5
2,1900000,0.95,0,Scr,0.2,2,0.5
2,1900000,0.95,1,H1,0.8,2,0.5
2,1910000,0.955,0,Scr,0.2,2,0.5
