rank_input_order,radial_gain,tangent_gain,boundary_gain,boundary_band,boundary_guard,smoothing,score_mean_tiz,score_min_tiz,scripted_tiz_mean,scripted_tiz_std,scripted_episode_length_mean,scripted_episode_length_std,scripted_catch_rate,scripted_too_close_rate,scripted_too_far_rate,scripted_avg_distance_mean,h1_tiz_mean,h1_tiz_std,h1_episode_length_mean,h1_episode_length_std,h1_catch_rate,h1_too_close_rate,h1_too_far_rate,h1_avg_distance_mean
31,1.2,0.6,0.8,1.25,0.2,0.0,0.12335833333333332,0.08801666666666667,0.08801666666666667,0.0016327379867368032,19.008333333333336,0.5351245960833173,0.9916666666666667,0.3862153479864365,0.15065647432881898,4.1438834347257085,0.15869999999999998,0.014635829323957001,32.461666666666666,1.9652756380043335,0.9666666666666667,0.41123974707953387,0.11648978036906653,4.046493669406529
32,1.2,0.6,0.8,1.25,0.2,0.1,0.1227166666666667,0.08741666666666668,0.08741666666666668,0.0014364307617610258,18.936666666666667,0.586820529066029,0.9933333333333333,0.38742948398211613,0.1515575085426765,4.139245508706231,0.1580166666666667,0.014878199935924147,32.336666666666666,1.9176635088913114,0.9566666666666667,0.4127338994409375,0.11795132295432892,4.048844247739764
33,1.2,0.6,1.35,1.25,0.2,0.0,0.11603333333333334,0.08356666666666668,0.08356666666666668,0.002193931022920583,18.44,0.16454482671904416,1.0,0.40198296076392714,0.14896500842392404,4.117405192293205,0.1485,0.013415382961361936,31.05666666666666,1.9125659030039543,0.9733333333333333,0.41824723720534024,0.1172708757760867,4.037658273804623
34,1.2,0.6,1.35,1.25,0.2,0.1,0.11621666666666668,0.08351666666666668,0.08351666666666668,0.002141455891054803,18.435,0.16370705543744943,1.0,0.40214202409140737,0.1492458887292211,4.113077951879121,0.14891666666666667,0.013989043331598238,31.21666666666667,2.1676734840222913,0.9733333333333333,0.41979531147139754,0.11724176827480372,4.03167944927356
35,1.2,0.6,2.0,1.25,0.2,0.0,0.10936666666666667,0.07928333333333333,0.07928333333333333,0.0029771350881902035,17.73,0.30622703995565154,1.0,0.4112680010627716,0.1501819117556337,4.1121089858292015,0.13945,0.012624480187318609,29.37166666666667,1.434436590907153,0.98,0.4221004926434835,0.12137243707160154,4.0432501513087375
36,1.2,0.6,2.0,1.25,0.2,0.1,0.1085916666666667,0.07908333333333335,0.07908333333333335,0.0028936712552280926,17.728333333333335,0.2793444707405777,1.0,0.4110814186161645,0.15089449814981598,4.107204564146923,0.13810000000000003,0.0120038535479237,28.906666666666666,1.65525174318994,0.9816666666666668,0.4215096361457811,0.1217668704100266,4.0437251521470685
37,1.6,0.0,0.8,1.25,0.2,0.0,0.13593333333333332,0.10525,0.10525,0.005174698058824304,18.676666666666666,0.6274020507882755,1.0,0.30672349392588094,0.13596027857663842,4.311500836120199,0.16661666666666666,0.00456079305969184,30.086666666666662,0.7886750492651153,0.9866666666666667,0.3420132832339083,0.11977775628229927,4.2413843064852195
38,1.6,0.0,0.8,1.25,0.2,0.1,0.13473333333333332,0.10473333333333334,0.10473333333333334,0.005203444372080223,18.63,0.60605280298007,1.0,0.30872828019071696,0.13625529085197388,4.3029952884585505,0.16473333333333331,0.0041621308645131815,29.848333333333333,0.4050102879351762,0.9883333333333333,0.3460872515611877,0.11895056246421658,4.233493268467469
39,1.6,0.0,1.35,1.25,0.2,0.0,0.14570833333333336,0.10411666666666668,0.10411666666666668,0.004864754190432777,19.150000000000002,0.7278220936465166,1.0,0.32737333484230957,0.1327934319113042,4.256118431147275,0.18730000000000002,0.0017895530168173242,34.446666666666665,0.35736302737319414,0.9633333333333334,0.3574843308583861,0.1142073847757802,4.1845673713276925
40,1.6,0.0,1.35,1.25,0.2,0.1,0.14490833333333333,0.10345,0.10345,0.005282754963085071,19.0,0.746391318277483,1.0,0.3285156225218946,0.13299066768219459,4.247333938978207,0.18636666666666668,0.000431083905212583,34.36000000000001,0.4275511665286387,0.9633333333333334,0.35803691546389066,0.11362764788008872,4.180963419209427
41,1.6,0.0,2.0,1.25,0.2,0.0,0.137025,0.09916666666666668,0.09916666666666668,0.004964457002868828,18.976666666666663,0.9543365933114661,1.0,0.3519848204747725,0.13286802071195214,4.222530686382133,0.17488333333333336,0.008426495910717152,33.85333333333333,0.7583095234357372,0.9766666666666666,0.38433374073913756,0.11519005595401621,4.147218502423286
42,1.6,0.0,2.0,1.25,0.2,0.1,0.13675833333333334,0.09835,0.09835,0.004644620544242549,18.878333333333334,0.9021132597037544,1.0,0.35443012982816136,0.1330713388625742,4.215400273004325,0.1751666666666667,0.005870335027350075,33.848333333333336,0.296704117486317,0.9733333333333333,0.3852310719169214,0.11506043895675215,4.146122994561801
43,1.6,0.3,0.8,1.25,0.2,0.0,0.14700000000000002,0.1029166666666667,0.1029166666666667,0.0051159880114532395,18.919999999999998,0.8874542241715901,1.0,0.3239068924258279,0.13590379240862194,4.276746145708319,0.19108333333333336,0.012330990768520326,34.475,1.0876925116962073,0.96,0.35618199886357654,0.10780373200570693,4.1817614819761095
44,1.6,0.3,0.8,1.25,0.2,0.1,0.14525833333333335,0.10215,0.10215,0.004814301610825812,18.808333333333334,0.8519731998914825,1.0,0.3257254614422174,0.13631692089954017,4.268286270504146,0.18836666666666668,0.013209308586498146,34.166666666666664,1.1646065143787108,0.965,0.358834417235067,0.10771264652771867,4.175466654918426
45,1.6,0.3,1.35,1.25,0.2,0.0,0.15300833333333333,0.1024,0.1024,0.004327817001676483,19.301666666666666,0.5570083781536261,1.0,0.33672960057181583,0.13393666179895736,4.236857133479856,0.20361666666666667,0.01104279553977766,37.251666666666665,0.6569690505140519,0.9333333333333335,0.36961815083133337,0.1038732461471329,4.140478795518328
46,1.6,0.3,1.35,1.25,0.2,0.1,0.1524916666666667,0.10166666666666668,0.10166666666666668,0.004055962688848773,19.286666666666665,0.6013803566241032,1.0,0.3402285295748862,0.1337767301424103,4.22721472076323,0.20331666666666667,0.010372359101638053,37.315,0.7326151786579391,0.9333333333333332,0.37119370310812827,0.10319346149459648,4.134884707958661
47,1.6,0.3,2.0,1.25,0.2,0.0,0.14648333333333335,0.09673333333333334,0.09673333333333334,0.00433195490896816,19.075,0.7548012983560638,1.0,0.3633969960735868,0.13387516148885117,4.199375792762095,0.19623333333333334,0.008387838418408728,37.61666666666667,0.4625563028792622,0.915,0.3935175495042902,0.1049664537488026,4.110793935150769
48,1.6,0.3,2.0,1.25,0.2,0.1,0.14654166666666668,0.09601666666666668,0.09601666666666668,0.003918013952672104,19.046666666666667,0.767875858022202,1.0,0.36690171774299984,0.1337375664538576,4.192275610064256,0.1970666666666667,0.009438396756511853,38.21333333333333,0.6975910932153127,0.9066666666666667,0.397823419776767,0.10319485189722848,4.097171981430237
49,1.6,0.6,0.8,1.25,0.2,0.0,0.13475,0.09638333333333333,0.09638333333333333,0.0031659648345067474,18.675,0.23404059476936936,1.0,0.3473856633644114,0.1439731271861435,4.2383094285192096,0.17311666666666667,0.013560451074110113,32.71666666666667,1.568489188146775,0.9716666666666667,0.37965804258101393,0.11331985065517253,4.129514813118217
50,1.6,0.6,0.8,1.25,0.2,0.1,0.13440833333333335,0.09578333333333335,0.09578333333333335,0.0032803709139872044,18.548333333333336,0.06370504951205336,1.0,0.34840001750343036,0.1446592274784395,4.232502251464816,0.17303333333333337,0.011217880073050045,32.75666666666667,1.3123007785310996,0.9700000000000001,0.3809047265611454,0.11318227156265565,4.125066338712229
51,1.6,0.6,1.35,1.25,0.2,0.0,0.13430833333333334,0.09590000000000003,0.09590000000000003,0.0029253204952620192,19.315,0.19313207915827924,1.0,0.3674798903136145,0.13822114005755015,4.18491388214222,0.17271666666666666,0.015502123510452801,33.58833333333333,1.58206615959426,0.9633333333333334,0.3876106024420956,0.11174881905180196,4.117461907533946
52,1.6,0.6,1.35,1.25,0.2,0.1,0.13282500000000003,0.09523333333333334,0.09523333333333334,0.002976715191840389,19.215,0.2343074902771992,1.0,0.3676272580105106,0.1391365403533197,4.184991917676854,0.1704166666666667,0.01553579200856312,33.15833333333334,1.46707475383272,0.9700000000000001,0.3877557043964239,0.11194009077800883,4.118493649593783
53,1.6,0.6,2.0,1.25,0.2,0.0,0.128425,0.09050000000000002,0.09050000000000002,0.003650000000000001,18.958333333333332,0.38711540053753174,1.0,0.39099446660963877,0.13725647301982133,4.1552357428821125,0.16635,0.01087140745257946,32.968333333333334,0.9939357792801972,0.9683333333333333,0.3957463270327399,0.11298214612704006,4.113008197635943
54,1.6,0.6,2.0,1.25,0.2,0.1,0.1271,0.08995000000000002,0.08995000000000002,0.003508560958569771,18.885,0.27932955446926744,1.0,0.3920182354545205,0.1379700043066694,4.153281330804922,0.16424999999999998,0.011757976016304841,32.541666666666664,1.1050603301781012,0.9700000000000001,0.39582658001150134,0.11314212803020672,4.111711615896012
