rank_input_order,horizon,velocity_window,action_grid,discount,boundary_guard,effort_weight,smoothness_weight,collision_penalty,oob_penalty,score_mean_tiz,score_min_tiz,scripted_tiz_mean,scripted_tiz_std,scripted_episode_length_mean,scripted_episode_length_std,scripted_catch_rate,scripted_too_close_rate,scripted_too_far_rate,scripted_avg_distance_mean,h1_tiz_mean,h1_tiz_std,h1_episode_length_mean,h1_episode_length_std,h1_catch_rate,h1_too_close_rate,h1_too_far_rate,h1_avg_distance_mean
48,5,6,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.05,80.0,80.0,0.15388333333333332,0.11896666666666667,0.11896666666666667,0.0029399546481762863,21.39333333333333,0.18583146486355284,0.9933333333333333,0.36725367574389645,0.09012463515212299,3.9476982023794727,0.1888,0.006449030934954469,34.6,1.981211750419425,0.9166666666666666,0.4143726398814613,0.06977774952096391,3.81845084916328
49,7,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.0,40.0,80.0,0.09201666666666666,0.07986666666666666,0.07986666666666666,0.0014294521094927756,16.253333333333334,0.5081666393353006,1.0,0.42034757544915813,0.10968149179098984,3.9023695064053006,0.10416666666666669,0.006033517492585357,21.18,1.614558763253911,1.0,0.4502506484938473,0.09028524793475366,3.7877936056231007
50,7,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.0,80.0,80.0,0.09551666666666667,0.08073333333333334,0.08073333333333334,0.001514375558880078,17.06,0.5788782255362519,1.0,0.438778338739546,0.1059654385448607,3.8525353734718735,0.11030000000000001,0.00543415126767742,23.813333333333333,1.2548041015765503,0.9866666666666667,0.4733846348440713,0.08644209055488809,3.732558162167076
51,7,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.05,40.0,80.0,0.09401666666666667,0.08033333333333333,0.08033333333333333,0.001517673658377623,16.24666666666667,0.5115988011453251,1.0,0.41831418626684186,0.10836674028262312,3.8975985209180237,0.10770000000000002,0.0019924858845171527,21.959999999999997,0.5729746940310719,0.9866666666666667,0.4511070613349791,0.08985434197903719,3.787714370992853
52,7,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.05,80.0,80.0,0.09641666666666668,0.0812,0.0812,0.0016822603841260759,17.0,0.6129437168288789,1.0,0.43523875470656526,0.10470958326415815,3.852261631832089,0.11163333333333335,0.0018823743871327495,24.233333333333334,0.3421013495052805,0.98,0.47483543811809376,0.08589785913845693,3.7310219244223894
53,7,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.0,40.0,80.0,0.09316666666666668,0.07990000000000001,0.07990000000000001,0.001899999999999999,16.253333333333334,0.4878865988458114,1.0,0.4188710487173433,0.11057174889260278,3.910468327710911,0.10643333333333334,0.002702468007827921,22.293333333333333,0.551392177432119,0.9933333333333333,0.4557021246900021,0.09278912515361905,3.787960342925692
54,7,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.0,80.0,80.0,0.09468333333333334,0.08040000000000001,0.08040000000000001,0.0023065125189341636,16.883333333333333,0.7086842268128539,1.0,0.43581347676280285,0.10738845385202188,3.867417734084824,0.10896666666666667,0.0029905406423142667,23.826666666666664,0.3442867022313429,0.9833333333333334,0.47168775183089484,0.08914724062483627,3.745699062754111
55,7,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.05,40.0,80.0,0.09361666666666667,0.07973333333333334,0.07973333333333334,0.0019008769905844328,16.19,0.3235737937472688,1.0,0.4190573020218796,0.1110458130718331,3.9140084829258726,0.1075,0.004775981574503838,22.63,1.486842291569621,0.9933333333333333,0.45619438182069155,0.09246999629923487,3.7878405522498126
56,7,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.05,80.0,80.0,0.09593333333333334,0.08023333333333334,0.08023333333333334,0.0022030282189144205,16.790000000000003,0.5106858133921481,1.0,0.43467031636396714,0.10808389631197683,3.8743872994766897,0.11163333333333335,0.00608714492462054,24.400000000000002,1.880531839666642,0.98,0.47307439018260383,0.08809791745913571,3.740879969834623
57,7,4,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.0,40.0,80.0,0.09313333333333335,0.07923333333333332,0.07923333333333332,0.0017039170558842832,15.920000000000002,0.6421059102671456,1.0,0.41447093229437537,0.11033067185496866,3.921545876590996,0.10703333333333336,0.0014571661996263202,21.89,0.5284884104689523,0.9899999999999999,0.4437718476550985,0.09166262502219573,3.8171889694447843
58,7,4,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.0,80.0,80.0,0.09265000000000001,0.07940000000000001,0.07940000000000001,0.0016462077633154397,16.220000000000002,0.7005711955254803,1.0,0.4241955632950278,0.10808047129190242,3.8960341485218994,0.1059,0.0035042830935870565,22.34,0.8277680834629962,0.9933333333333333,0.4574027888154492,0.08849563197328568,3.782332128482151
59,7,4,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.05,40.0,80.0,0.09336666666666667,0.07993333333333333,0.07993333333333333,0.001379613472438328,15.933333333333332,0.5186842327788017,1.0,0.41219385034576844,0.10934714825410981,3.9204385329495035,0.1068,0.002351595203260959,21.766666666666666,0.3758102358017045,0.9866666666666667,0.4443277042672256,0.09039963797039796,3.814955846920355
60,7,4,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.05,80.0,80.0,0.09298333333333333,0.08013333333333333,0.08013333333333333,0.001379613472438328,16.25,0.5781868210189499,1.0,0.42286431522532614,0.10695805459677797,3.891448069476533,0.10583333333333333,0.004001666319589048,22.060000000000002,0.5556077753235655,0.9933333333333333,0.4561737696430163,0.08789719182755475,3.785335657509183
